SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1350 Monterey Blvd,SAN FRANCISCO,CA,94127,2888888,4,3.0,SAN FRANCISCO,3372,5318,1927,2,857,2,Active,October-10-2021 02:00 PM,October-10-2021 05:00 PM,http://www.redfin.com/CA/San-Francisco/1350-Monterey-Blvd-94127/home/695215,MLSListings,ML81865998,N,Y,37.7313548,-122.4633321
MLS Listing,,Single Family Residential,215 Alpha St,San Francisco,CA,94134,895000,3,1.0,San Francisco,1120,1873,1944,2,799,,Active,October-10-2021 01:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/215-Alpha-St-94134/home/783697,San Francisco MLS,421601136,N,Y,37.7135755,-122.4044173
MLS Listing,,Single Family Residential,418 Madrid St,San Francisco,CA,94112,759000,4,2.0,San Francisco,1775,2495,1922,2,428,,Active,October-11-2021 12:00 PM,October-11-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/418-Madrid-St-94112/home/1194209,San Francisco MLS,421601416,N,Y,37.7229316,-122.4320504
MLS Listing,,Condo/Co-op,858 Capp St #4,San Francisco,CA,94110,1499000,2,2.0,San Francisco,1322,,2021,2,1134,470,Active,October-12-2021 02:00 PM,October-12-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/858-Capp-St-94110/unit-4/home/176683246,San Francisco MLS,421598784,N,Y,37.7529243,-122.4176752
MLS Listing,,Condo/Co-op,191 Lower Ter,San Francisco,CA,94114,1995000,3,2.5,San Francisco,1960,2204,2006,2,1018,300,Active,,,http://www.redfin.com/CA/San-Francisco/191-Lower-Ter-94114/home/69371602,San Francisco MLS,421602376,N,Y,37.7631084,-122.4436349
MLS Listing,,Condo/Co-op,1000 3rd St #1202,San Francisco,CA,94158,3000000,3,2.5,San Francisco,1827,,2018,2,1642,1125,Active,,,http://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-1202/home/167382721,San Francisco MLS,421602373,N,Y,37.7752125,-122.3902276
MLS Listing,,Condo/Co-op,1408 31st Ave #403,San Francisco,CA,94122,1599000,3,3.0,San Francisco,1859,10750,2008,2,860,544,Active,,,http://www.redfin.com/CA/San-Francisco/1408-31st-Ave-94122/unit-403/home/109687068,San Francisco MLS,421599023,N,Y,37.7609104,-122.4897388
MLS Listing,,Single Family Residential,101 Capistrano Ave,San Francisco,CA,94112,1595000,5,4.0,San Francisco,2019,4983,1913,2,790,,Active,,,http://www.redfin.com/CA/San-Francisco/101-Capistrano-Ave-94112/home/1257598,San Francisco MLS,421601724,N,Y,37.7290134,-122.4370584
MLS Listing,,Condo/Co-op,955 Clayton St #3,San Francisco,CA,94117,2249000,3,2.0,San Francisco,2845,8397,1904,3,791,689,Active,October-12-2021 12:00 PM,October-12-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/955-Clayton-St-94117/unit-3/home/1181630,San Francisco MLS,421601464,N,Y,37.7642979,-122.447606
MLS Listing,,Condo/Co-op,1369 Masonic Ave,San Francisco,CA,94117,749000,1,1.0,San Francisco,,2656,1903,3,,,Active,October-10-2021 02:00 PM,October-10-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1369-Masonic-Ave-94117/home/176677318,San Francisco MLS,421602285,N,Y,37.7680356,-122.4451867
